,wav_filename,wav_filesize,transcript
0,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_1.wav,224042,ladies and gentlemen good day and welcome to adani enterprises limited q one fy twenty four earning
1,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_10.wav,224042,mister saurav shah finance controller and mister manan bakaria investor relations 
2,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_100.wav,224042,i understand that we have the four giga watt solar module capacity but just want to understand how we looking
3,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_101.wav,224042,the timelines for the expansion of this facility as well as proper integration also has there been any progress
4,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_102.wav,224042,on technology sharing for electroliser no all of that is
5,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_103.wav,224042,as like i said in my opening comment the backward integration is continuing so wafer and engine plant is
6,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_104.wav,224042,development and we'll formally update as to where it is in in our half year result win fintech facility as i said has already
7,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_105.wav,224042,achieved we know certificate so it is up and running and is moving to commercial production similarly all the ancillary
8,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_106.wav,224042,beat glass b aluminum frame back sheet eva all of that are now now in very advanced stages
9,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_107.wav,224042,and in in majority the case then ancillary system is is operating we expect the 
10,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_108.wav,224042,there is no change the timeline as we had indicated last year but i think from a formally full detailed timeline on green hydrogen the best
